date,code,open,high,low,close,volume,name
2023-04-11,sz.000333,47.0495240200,48.7443791400,47.0408768000,48.2860764800,32436552,美的集团
2023-04-12,sz.000333,48.2860764800,49.0729735000,47.9055988000,47.9920710000,22302460,美的集团
2023-04-13,sz.000333,47.6029461000,47.8104793800,46.8160490800,46.8160490800,18259494,美的集团
2023-04-14,sz.000333,46.8506379600,47.2570573000,46.5479852600,46.6431046800,14212447,美的集团
2023-04-17,sz.000333,46.6171630200,48.0612487600,46.5998685800,47.9228932400,26228048,美的集团
2023-04-18,sz.000333,47.7326544000,49.6350428000,47.7067127400,49.0989151600,38706349,美的集团
2023-04-19,sz.000333,49.0989151600,49.5053345000,48.4676681000,48.4936097600,19188658,美的集团
2023-04-20,sz.000333,48.5800819600,50.1884648800,48.5800819600,49.3237428800,36794925,美的集团
2023-04-21,sz.000333,49.6350428000,50.6727092000,49.0729735000,49.1594457000,39892402,美的集团
2023-04-24,sz.000333,48.5973764000,50.8024175000,48.4330792200,49.3150956600,33992120,美的集团
2023-04-25,sz.000333,49.2891540000,50.1884648800,48.1217793000,49.8512233000,42962096,美的集团
2023-04-26,sz.000333,49.3064484400,49.5918067000,48.3984903400,49.0297374000,23934184,美的集团
2023-04-27,sz.000333,48.5714347400,49.9376955000,48.5714347400,49.5139817200,15777059,美的集团
2023-04-28,sz.000333,49.5053345000,49.5918067000,48.6060236200,49.0989151600,15690551,美的集团
2023-05-04,sz.000333,49.4793928400,50.5430009000,48.2947237000,48.9259707600,26856562,美的集团
2023-05-05,sz.000333,48.7703208000,48.7703208000,46.7641657600,47.8450682600,34212287,美的集团
2023-05-08,sz.000333,47.8450682600,48.4157847800,47.1014073400,47.5683572200,20872170,美的集团
2023-05-09,sz.000333,47.3867656000,48.0439543200,46.7036352200,47.3867656000,18139372,美的集团
2023-05-10,sz.000333,47.1273490000,48.4244320000,46.5912213600,47.9055988000,17462598,美的集团
2023-05-11,sz.000333,48.0353071000,49.0470318400,47.8537154800,47.9488349000,12622453,美的集团
2023-05-12,sz.000333,47.8450682600,49.7128677800,47.8277738200,48.2687820400,16559010,美的集团
2023-05-15,sz.000333,48.3033709200,49.0643262800,47.5683572200,48.9346179800,14066647,美的集团
2023-05-16,sz.000333,48.9346179800,49.4966872800,47.6548294200,47.8623627000,13612588,美的集团
2023-05-17,sz.000333,47.7499488400,48.7703208000,47.3954128200,47.5770044400,9076272,美的集团
2023-05-18,sz.000333,47.6894183000,47.9228932400,47.1705851000,47.5597100000,11069523,美的集团
2023-05-19,sz.000333,47.2657045200,49.1680929200,47.2657045200,48.2514876000,20384343,美的集团
2023-05-22,sz.000333,48.2514876000,49.2459179000,48.2514876000,49.0383846200,15199783,美的集团
2023-05-23,sz.000333,49.0210901800,49.2459179000,48.3206653600,48.3811959000,15585136,美的集团
2023-05-24,sz.000333,48.2687820400,48.3293125800,46.2626270000,46.3490992000,26674242,美的集团
2023-05-25,sz.000333,46.1761548000,47.1187017800,45.5535549600,46.7036352200,17143391,美的集团
2023-05-26,sz.000333,46.7036352200,47.0841129000,46.2453325600,46.9198157200,11166052,美的集团
2023-05-29,sz.000333,46.9284629400,47.2916461800,45.8994437600,46.2193909000,17433449,美的集团
2023-05-30,sz.000333,46.2193909000,46.4009825200,44.7839523800,45.2509022600,32084604,美的集团
2023-05-31,sz.000333,45.4757299800,45.5708494000,44.1872942000,44.3861802600,28064959,美的集团
